molecule	logP	Encap_Efficiency	n_beads	epsilon_W	epsilon_EO	epsilon_N1	epsilon_polymer	relative_polymer_over_W	delta_polymer_minus_W	plape_plape	plape_res	res_res	res-rest
HEaSC00289	-0.033100	0.235667	2	6.110000	5.820850	6.080000	11.900850	1.947766	5.790850	-25784.800000	-629.484000	-12.897300	-2379.860000
HEaSC00483	-0.026100	0.710400	4	10.460000	10.647033	10.460000	21.107033	2.017881	10.647033	-24930.000000	-3188.430000	-270.121000	-1998.730000
HEaSC00490	-0.022600	0.704467	4	10.460000	10.647033	10.460000	21.107033	2.017881	10.647033	-24978.900000	-3124.760000	-247.367000	-2039.610000
HEaSC00392	-0.020900	0.361067	3	8.220000	8.038316	7.540000	15.578316	1.895172	7.358316	-25768.400000	-1054.220000	-18.589700	-2362.820000
HEaSC00366	0.001700	0.472667	3	7.330000	7.797579	7.730000	15.527579	2.118360	8.197579	-25656.500000	-1497.990000	-113.230000	-2013.980000
HEaSC00489	0.013900	0.709267	4	10.460000	10.647033	10.460000	21.107033	2.017881	10.647033	-25007.400000	-3193.460000	-250.332000	-1991.270000
HEaSC00365	0.024400	0.482667	3	7.330000	7.797579	7.730000	15.527579	2.118360	8.197579	-25571.800000	-1544.180000	-113.678000	-1990.580000
HEaSC00112	0.047000	0.303533	2	5.850000	6.181153	5.690000	11.871153	2.029257	6.021153	-25807.300000	-782.494000	-16.150300	-2198.040000
HEaSC00100	0.052200	0.296800	2	5.850000	6.181153	5.690000	11.871153	2.029257	6.021153	-25833.800000	-786.901000	-15.669900	-2199.010000
HEaSC00156	0.062700	0.196267	2	4.650000	4.648496	4.810000	9.458496	2.034085	4.808496	-25928.600000	-333.678000	-2.833970	-1493.800000
HEaSC00191	0.078400	0.218667	2	5.690000	5.876189	5.890000	11.766189	2.067872	6.076189	-25747.500000	-537.552000	-13.225200	-2586.710000
HEaSC00473	0.081800	0.497333	3	7.960000	8.315716	8.150000	16.465716	2.068557	8.505716	-25635.500000	-1755.340000	-52.515500	-2258.250000
HEaSC00154	0.081800	0.214333	2	4.460000	5.055160	4.620000	9.675160	2.169318	5.215160	-26125.900000	-356.539000	-3.028110	-1401.700000
HEaSC00259	0.111400	0.266400	2	5.850000	6.035138	5.690000	11.725138	2.004297	5.875138	-26040.800000	-648.999000	-13.136400	-2271.200000
HEaSC00532	0.158500	0.355267	2	5.630000	6.035138	5.690000	11.725138	2.082618	6.095138	-25889.500000	-924.438000	-15.304900	-2019.640000
HEaSC00146	0.163700	0.081867	1	3.000000	2.962263	2.920000	5.882263	1.960754	2.882263	-25962.700000	-114.020000	-2.238490	-1362.020000
HEaSC00471	0.170600	0.503600	3	7.460000	7.830785	7.540000	15.370785	2.060427	7.910785	-25632.300000	-1600.020000	-39.715600	-1893.370000
HEaSC00116	0.175900	0.300200	2	6.800000	6.908132	5.770000	12.678132	1.864431	5.878132	-25967.600000	-854.186000	-29.695200	-2803.350000
HEaSC00299	0.184600	0.089467	1	3.000000	2.962263	2.920000	5.882263	1.960754	2.882263	-26062.600000	-109.794000	-2.100960	-1368.320000
HEaSC00404	0.189800	0.604933	4	9.480000	10.575521	9.650000	20.225521	2.133494	10.745521	-25541.500000	-2176.170000	38.587000	-2166.760000
HEaSC00383	0.200200	0.470800	3	7.890000	8.318033	7.390000	15.708033	1.990879	7.818033	-25813.800000	-1453.630000	-28.810100	-1982.990000
HEaSC00382	0.207200	0.491800	3	7.890000	8.318033	7.390000	15.708033	1.990879	7.818033	-25883.400000	-1454.250000	-28.336300	-1981.700000
HEaSC00528	0.226400	0.284333	2	5.630000	6.035138	5.690000	11.725138	2.082618	6.095138	-26007.600000	-686.053000	-11.301900	-2122.070000
HEaSC00165	0.235100	0.328600	2	5.740000	5.778511	5.840000	11.618511	2.024131	5.878511	-25755.100000	-869.516000	-16.985500	-2069.780000
HEaSC00595	0.238500	0.253600	2	5.630000	6.035138	5.540000	11.575138	2.055975	5.945138	-26005.200000	-642.948000	-9.856740	-2170.980000
HEaSC00597	0.252500	0.229400	2	5.630000	6.035138	5.540000	11.575138	2.055975	5.945138	-25531.800000	-520.635000	-8.453500	-2209.420000
HEaSC00529	0.264700	0.279800	2	5.630000	6.035138	5.540000	11.575138	2.055975	5.945138	-25921.100000	-673.936000	-9.673200	-2156.300000
HEaSC00385	0.264700	0.611000	4	9.480000	10.575521	9.650000	20.225521	2.133494	10.745521	-25644.300000	-2241.160000	87.111900	-2135.960000
HEaSC00256	0.275100	0.410800	2	5.520000	6.314855	5.540000	11.854855	2.147619	6.334855	-25851.000000	-1069.760000	-22.252500	-1888.220000
HEaSC00530	0.275100	0.213200	2	6.000000	5.924526	5.840000	11.764526	1.960754	5.764526	-25998.800000	-536.564000	-12.391000	-2379.170000
HEaSC00465	0.292500	0.781267	3	7.410000	7.684770	7.540000	15.224770	2.054625	7.814770	-25147.500000	-3096.630000	-66.278900	-982.944000
HEaSC00287	0.296000	0.213000	2	5.690000	5.656163	5.890000	11.546163	2.029203	5.856163	-25687.000000	-521.100000	-12.517200	-2607.220000
HEaSC00416	0.299500	0.635000	4	8.520000	9.383498	9.240000	18.623498	2.185857	10.103498	-25206.600000	-2119.450000	-34.965800	-1569.130000
HEaSC00535	0.311700	0.187867	2	7.400000	6.764984	6.780000	13.544984	1.830403	6.144984	-25894.100000	-547.593000	-20.539500	-3696.290000
HEaSC00298	0.336100	0.076733	1	3.700000	3.382492	3.390000	6.772492	1.830403	3.072492	-26291.900000	-118.765000	-4.489230	-2114.430000
