compound,logP,split,stratum
Dinoseb,8.359800338745117,train,
HEaSC00350,0.7156000137329102,train,
HEaSC00211,-0.604200005531311,train,
SC6,0.9284042119979858,train,
HEaSC00461,1.284999966621399,train,
Triazamate,4.627299785614014,train,
Pebulate,6.552800178527832,train,
Metominostrobin,9.06659984588623,train,
Q5,-4.028923988342285,train,
C6,1.7692230939865112,train,
HEaSC00504,-0.60589998960495,train,
Hexyl_salicylate,7.125500202178955,train,
N2a,1.3663307428359985,train,
HEaSC00114,2.2688000202178955,train,
Linuron,3.4330999851226807,train,
HEaSC00335,-2.0529000759124756,train,
HEaSC00098,1.8387000560760498,train,
HEaSC00309,1.6576000452041626,train,
P4,-1.296262502670288,train,
HEaSC00151,1.6262999773025513,train,
Picric_acid,6.345600128173828,train,
HEaSC00531,-0.7069000005722046,train,
HEaSC00319,-1.0307999849319458,train,
HEaSC00470,-1.1543999910354614,train,
Eugenol,7.614699840545654,train,
HEaSC00436,-1.0882999897003174,train,
HEaSC00517,-0.9699000120162964,train,
HEaSC00581,-1.561900019645691,train,
HEaSC00057,-1.2136000394821167,train,
P1,-0.35034120082855225,train,
PentachloroPhenol,7.370999813079834,train,
HEaSC00315,2.5230000019073486,train,
TN1d,0.6831653714179993,train,
HEaSC00452,-0.8479999899864197,train,
Anethole,7.03849983215332,train,
N6d,0.17517060041427612,train,
HEaSC00107,1.3198000192642212,train,
Dichlorprop,5.8460001945495605,train,
HEaSC00286,2.2548999786376953,train,
N5,0.0,validation,
TX2,0.9108871221542358,validation,
2-Naphthalenol,6.733799934387207,validation,
HEaSC00524,-0.8079000115394592,validation,
TC2,1.3663307428359985,validation,
Ioxynil,6.122799873352051,validation,
SP5d,-1.6641207933425903,validation,
TN1,0.4028923809528351,validation,
HEaSC00036,2.207900047302246,validation,
HEaSC00154,0.08179999887943268,validation,
HEaSC00360,-1.004699945449829,validation,
HEaSC00433,-0.626800000667572,validation,
Carbetamide,5.0416998863220215,validation,
SP6d,-1.6816377639770508,validation,
C4,2.3472859859466553,validation,
HEaSC00447,0.8880000114440918,validation,
C5,1.9619107246398926,validation,
SP2d,-0.9459212422370911,validation,
HEaSC00147,-0.677299976348877,validation,
Aclonifen,9.517499923706055,validation,
Diethofencarb,6.0183000564575195,validation,
HEaSC00026,0.6894999742507935,validation,
HEaSC00097,1.2955000400543213,validation,
HEaSC00099,1.8701000213623047,validation,
HEaSC00082,2.4916999340057373,validation,
